iata_code,airport_name,city_name,country_name
KBR,Sultan Ismail Petra,Kotabharu,Malaysia
KBS,Bo,Bo,Sierra Leone
KBV,Krabi,Krabi,Thailand
KBZ,Kaikoura,Kaikoura,New Zealand
KCH,Kuching,Kuching,Malaysia
KCK,Fairfax Municipal,Kirensk,United States
KCM,Kahramanmaras,Kahramanmaras,Turkey
KCO,Cengiz Topel,Kocaeli,Turkey
KCZ,Kochi,KOCHI,Japan
KDD,Khuzdar,Khuzdar,Pakistan
KDH,Kandahar,Kandahar,Afghanistan
KDI,Wolter Monginsidi,Kendari,Indonesia
KAE,Spb Airport,Kake,United States
KBC,Birch Creek,Birchcreek,United States
KBT,Kaben,Kaben,Marshall Islands
KBU,Kotabaru,Kotabaru,Indonesia
KBW,Bay,Chignik,United States
KCG,Fisheries,Chignik,United States
KCL,Lagoon,Chignik,United States
KCQ,Chignik Lake,Chignik Lake,United States
KDK,Kodiak,Kodaikanal,India
KDN,Ndende,Ndende,Gabon
KDP,Kandep,Kandep,Papua New Guinea
KDQ,Kamberator,Kamberatoro,Papua New Guinea
KDS,Kamaran Downs,Kamaran Downs,Australia
KDW,Vic. Resevour Kandy,Victoria Resevour Kandy,Sri Lanka
KEA,Keisah,Keisah,Indonesia
KEB,Nanwalek,English Bay,United States
KEC,Kasenga,Kasenga,Democratic Republic of the Congo
KEE,Kelle,Kelle,Congo
KEG,Keglsugl,Keglsugl,Papua New Guinea
KEI,Kepi,Kepi,Indonesia
KEO,Odienne,Odienne,Cote D'Ivoire (Ivory Coast)
KEQ,Kebar,Kebar,Indonesia
KES,Kelsey,Kelsey,Canada
KEU,Kelly Bar,Kelly Bar,United States
KEX,Kanabea,Kanabea,Papua New Guinea
KGB,Konge,Konge,Papua New Guinea
KGH,Yongai,Yongai,Papua New Guinea
KGM,Kungum,Kungum,Papua New Guinea
KGN,Kasongo Lunda,Kasongolunda,Democratic Republic of the Congo
KGR,Kulgera,Kulgera,Australia
KGU,Keningau,Keningau,Malaysia
KGW,Kagi,Kagi,Papua New Guinea
KGY,Kingaroy,Kingaroy,Australia
KGZ,Glacier Creek,Glacier Creek,United States
KHA,Khaneh,Khaneh,Iran
KHJ,Kauhajoki,Kauhajoki,Finland
KHL,Khulna,KHULNA,Bangladesh
KHO,Khoka Moya,Khoka Moya,South Africa
KHR,Kharkhorin,Kharkhorin,Mongolia
KHU,Kremenchug,Kremenchug,Ukraine
KHZ,Kauehi,Kauehi,French Polynesia
KIB,Spb Airport,Ivanofbay,United States
KIC,Mesa Del Rey,King Cyti,United States
KIE,Aropa,Kieta,Papua New Guinea
KIG,Koinghaas,Koinghaas,South Africa
KII,Kibuli,Kibuli,Papua New Guinea
KDM,Kaadedhdhoo,Kaadedhdhoo,Maldives
KDO,Kadhdhoo,Kadhdhoo,Maldives
KDU,Skardu,Skardu,Pakistan
KDV,Kandavu,Kadavu,Fiji Islands
KDY,Mahaweli,Kandy,Sierra Leone
KED,Kaedi,Kaedi,Mauritania
KEJ,Kemerovo,Kemerovo,Russia
KEL,Holtenau,Kiel,Germany
KEM,Tornio,Kemitornio,Finland
KEN,Kenema,Kenema,Sierra Leone
KEP,Nepalganj,Nepalganj,Nepal
KER,Kerman,Kerman,Iran
KET,Keng Tung,Keng Tung,Myanmar
KEW,Keewaywin,Keewaywin,Canada
KEY,Kericho,Kericho,Kenya
KFG,Kalkurung,Kalkurung,Australia
KFP,False Pass,Falsepass,United States
KFS,Kastamonu,Kastamonu,Turkey
KGA,Kananga,Kananga,Democratic Republic of the Congo
KGD,Khrabrovo,Kaliningrad,Russia
KGE,Kagau,Kagau,Solomon Islands
KGF,Karaganda,Karaganda,Kazakhstan
KGG,Kedougou,Kedougou,Senegal
KGJ,Karonga,Karonga,Malawi
KGK,New Koliganek,Newkoliganek,United States
KGL,Gregoire Kayibanda,Kigali,Rwanda
KGO,Kirovograd,Kirovograd,Ukraine
KGS,Island International Airport,Kos,Greece
KGT,Kangding,Kangding,China
KHC,Kerch,Kerch,Ukraine
KHD,Khorramabad,Khorramabad,Iran
KHE,Kherson,Kherson,Ukraine
KHG,Kashi,Kashi,China
KHI,Quaid e azam Intl,Karachi,Pakistan
KHK,Khark,Kharkisland,Iran
KHM,Khamti,Khamti,Myanmar
KHN,Nanchang,Nanchang,China
KHS,Khasab,Khasab,Oman
KHT,Khost,Khost,Afghanistan
KHW,Khwai River Lodge,Khwai River Lodge,Botswana
KID,Kristianstad,Kristianstad,Sweden
KIF,Kingfisher Lake,Kingfisher Lake,Canada
KIH,Kish Island,Kishisland,Iran
KDR,Kandrian,Kandrian,Papua New Guinea
KGX,Grayling,Grayling,United States
KEH,Kenmore,Kenmoreairharbo,United States
KEK,Ekwok,Ekwok,United States
KIA,Kaiapit,Kaiapit,Papua New Guinea
KIL,Kilwa,Kilwa,Democratic Republic of the Congo
KIQ,Kira,Kira,Papua New Guinea
KIU,Kiunga,Kiunga,Kenya
KIY,Kilwa,Kilwa,Tanzania
KIZ,Kikinonda,Kikinonda,Papua New Guinea
KJU,Kamiraba,Kamiraba,Papua New Guinea
KKF,Kagvik Creek,Kagvik Creek,United States
KKG,Konawaruk,Konawaruk,Guyana
KKK,Kalakaket,Kalakaket,United States
KKM,Lop Buri,Lop Buri,Thailand
KKO,Kaikohe,Kaikohe,New Zealand
KKP,Koolburra,Koolburra,Australia
KKT,Kentland,Kentland,United States
KKU,Ekuk,Ekuk,United States
KKY,Kilkenny,Kilkenny,Ireland
KKZ,Koh Kong,Koh Kong,Cambodia
KLA,Kampala,Kampala,Uganda
KLB,Kalabo,Kalabo,Zambia
KLE,Kaele,Kaele,Cameroon
KLJ,Klaipeda,Klaipeda,Lithuania
KLP,Kelp Bay,Kelp Bay,United States
KLQ,Keluang,Keluang,Indonesia
KLT,Kaiserslautern,Kaiserslautern,Germany
KLY,Kalima,Kalima,Democratic Republic of the Congo
KMB,Koinambe,Koinambe,Papua New Guinea
KMD,Mandji,Mandji,Gabon
KMF,Kamina,Kamina,Papua New Guinea
KMK,Makabana,Makabana,Congo
KML,Kamileroi,Kamileroi,Australia
KMM,Kimam,Kimam,Indonesia
KMR,Karimui,Karimui,Papua New Guinea
KMT,Kampot,Kampot,Cambodia
KMX,Khamis Mushait,Khamis Mushait,Saudi Arabia
KMZ,Kaoma,Kaoma,Zambia
KNB,Kanab,Kanab,United States
KNC,Ji'An,Ji'An,China
KNE,Kanainj,Kanainj,Papua New Guinea
KIM,Kimberley,Kimberley,South Africa
KIN,Norman Manley,Kingston,Jamaica
KIO,Kili,Kiliisland,Marshall Islands
KIS,Kisumu,Kisumu,Kenya
KIT,Kithira,Kithira,Greece
KIV,Kishinev,Chisinau,Moldova
KIX,Kansai International,Osaka,Japan
KJA,Krasnojarsk,Krasnoyarsk,Russia
KJK,Kortrijk,Kortrijk,Belgium
KJP,Kerama,Kerama,Japan
KKA,Koyuk,Koyuk,United States
KKC,Khon Kaen,Khonkaen,Thailand
KKH,Kongiganak,Kongiganak,United States
KKJ,Kita Kyushu,Kitakyushu,Japan
KKN,Hoeybuktmoen,Kirkenes,Norway
KKR,Kaukura Atoll,Kaukuraatoll,French Polynesia
KKX,Kikaiga Shima,Kikaigashima,Japan
KLC,Kaolack,Kaolack,Senegal
KLD,TVER,TVER,Russia
KLF,Kaluga,Kaluga,Russia
KLG,Kalskag,Kalskag,United States
KLI,Kota Koli,Kota Koli,Democratic Republic of the Congo
KLN,Larsenspb Airport,Larsenbay,United States
KLO,Kalibo,Kalibo,Philippines
KLR,Kalmar,Kalmar,Sweden
KLU,Alpe Adria,Klagenfurt,Austria
KLV,Karlovy Vary,Karlovyvary,Czech Republic
KLW,Klawock,Klawock,United States
KLX,Kalamata,Kalamata,Greece
KLZ,Kleinzee,Kleinzee,South Africa
KME,Kamembe,Kamembe,Rwanda
KMG,Kunming,Kunming,China
KMH,Kuruman,Kuruman,South Africa
KMJ,Kumamoto,Kumamoto,Japan
KMN,Kamina,Kamina,Democratic Republic of the Congo
KMO,Manokotak,Manokotak,United States
KMP,J.G.H. Van Der Wath,Keetmanshoop,Namibia
KMQ,Komatsu,Komatsu,Japan
KMU,Kismayu,Kismayu,Somalia
KMV,Kalemyo,Kalemyo,Myanmar
KMW,Kostroma,Kostroma,Russia
KNA,Vina del Mar,Vinadelmar,Chile
KJB,Kurnool Airport,Kurnool,India
KKD,Kokoda,Kokoda,Papua New Guinea
KIP,Kickapoo,Kickapoo,United States
KKB,Spb Airport,Kitoibay,United States
KLK,Kalokol,Kalokol,Kenya
KLL,Levelock,Levelock,United States
KMY,Moser Bay,Moserbay,United States
KNI,Katanning,Katanning,Australia
KNJ,Kindamba,Kindamba,Congo
KNK,Kakhonak,Kakhonak,United States
KNL,Kelanoa,Kelanoa,Papua New Guinea
KNM,Kaniama,Kaniama,Democratic Republic of the Congo
KNR,Jam,Kangan,Iran
KNT,Kennett l,Kennett l,United States
KNV,Knights Inlet,Knights Inlet,Canada
KNY,Kinoosao,Kinoosao,Canada
KNZ,Kenieba,Kenieba,Mali
KOB,Koutaba,Koutaba,Cameroon
KOD,Sabiha Gökçen Havaalani,Kotabangun,Indonesia
KOF,Komatipoort,Komatipoort,South Africa
KOG,Khong,Khong,Laos
KOH,Koolatah,Koolatah,Australia
KOL,Koumala,Koumala,Central African Republic
KOM,Manda,Komomanda,Papua New Guinea
KOO,Kongolo,Kongolo,Democratic Republic of the Congo
KOR,Kokoro,Kokoro,Papua New Guinea
KOX,Kokonao,Kokonao,Indonesia
KPA,Kopiago,Kopiago,Papua New Guinea
KPD,King Of Prussia,King Of Prussia,United States
KPE,Yapsiei,Yapsiei,Papua New Guinea
KPF,Kondubol,Kondubol,Papua New Guinea
KPG,Kurupung,Kurupung,Guyana
KPI,Kapit,Kapit,Malaysia
KPK,Parks,Parks,United States
KPL,Kapal,Kapal,Papua New Guinea
KPM,Kompiam,Kompiam,Papua New Guinea
KPP,Kalpowar,Kalpowar,Australia
KPS,Kempsey,Kempsey,Australia
KPT,Jackpot,Jackpot,United States
KQB,Koonibba,Koonibba,Australia
KQH,Ajmer Kishangarh Airport,Ajmer,India
KQL,Kol,Kol,Papua New Guinea
KRA,Kerang,Kerang,Australia
KRC,Kerinci,Kerinci,Indonesia
KRD,Kurundi,Kurundi,Australia
KRE,Kirundo,Kirundo,Burundi
KRG,Karasabai,Karasabai,Guyana
KRJ,Karawari,Karawari,Papua New Guinea
KRM,Karanambo,Karanambo,Guyana
KRQ,Kramatorsk,Kramatorsk,Ukraine
KRU,Kerau,Kerau,Papua New Guinea
KRX,Kar Kar,Karkar,Papua New Guinea
KSB,Kasanombe,Kasanombe,Papua New Guinea
KNO,Knokke,Knokke,Belgium
KNP,Capanda,Capanda,Angola
KNQ,Kone,Kone,New Caledonia
KNU,Kanpur,Kanpur,India
KNW,New Stuyahok,Newstuyahok,United States
KNX,Kununurra,Kununurra,Australia
KOA,Kona,Kona,United States
KOC,Koumac,Koumac,New Caledonia
KOE,Eltari,Kupang,Indonesia
KOJ,Kagoshima,Kagoshima,Japan
KOK,Kruunupyy,Kokkolapietarsaa,Finland
KOP,Nakhon Phanom,Nakhonphanom,Thailand
KOQ,Koethen,Koethen,Germany
KOT,Kotlik,Kotlik,United States
KOU,Koulamoutou,Koulamoutou,Gabon
KOV,Kokshetau,Kokshetau,Kazakhstan
KOW,Ganzhou,Ganzhou,China
KPN,Kipnuk,Kipnuk,United States
KPO,Pohang,Pohang,South Korea
KPV,Perryville,Perryville,United States
KQA,Akutan,Akutan,United States
KRB,Karumba,Karumba,Australia
KRH,Redhill,Redhill,United Kingdom
KRI,Kikori,Kikori,Papua New Guinea
KRK,J. Paul Ii Balice Intl,Krakow,Poland
KRL,Korla,Korla,China
KRN,Kiruna,Kiruna,Sweden
KRP,Karup,Karup,Denmark
KRR,Pashkovsky,Krasnodar,Russia
KRS,Kjevik,Kristiansand,Norway
KRT,Civil,Khartoum,Sudan
KRY,Karamay,Karamay,China
KRZ,Kiri,Kiri,Democratic Republic of the Congo
KSA,Kosrae,Kosrae,Micronesia
KSC,Barca,Kosice,Slovakia
KNN,Kankan,Kankan,Guinea
KON,Kontum,Kontum,Vietnam
KOY,Olgabay,Olgabay,United States
KOZ,Ouzinkie,Ouzinkie,United States
KPR,Pwilliams Airport,Portwilliams,United States
KPY,Portbailey,Portbailey,United States
KRV,Kerio Valley,Kerio Valley,Kenya
KSE,Kasese,Kasese,Uganda
KSG,Kisengan,Kisengan,Papua New Guinea
KSP,Kosipe,Kosipe,Papua New Guinea
KSR,Federal No 1,Sandy River,United States
KST,Kosti,Kosti,Sudan
KSV,Springvale,Springvale,Australia
KSW,Shmona,Kiryatshmona,Israel
KSX,Yasuru,Yasuru,Papua New Guinea
KTC,Katiola,Katiola,Cote D'Ivoire (Ivory Coast)
KTK,Kanua,Kanua,Papua New Guinea
KTO,Kato,Kato,Guyana
KTV,Kamarata,Kamarata,Venezuela
KTX,Koutiala,Koutiala,Mali
KTZ,Kwun Tong,Kwun Tong,Hong Kong S.A.R.
KUB,Kuala Belait,Kualabelait,Brunei
KUE,Kukundu,Kukundu,Solomon Islands
KUI,Kawau Island,Kawau Island,New Zealand
KUJ,Kushimoto,Kushimoto,Japan
KUP,Kupiano,Kupiano,Papua New Guinea
KUQ,Kuri,Kuri,Papua New Guinea
KUR,Kuran O Munjan,Kuran-O-Munjan,Afghanistan
KUW,Kugururok River,Kugururok River,United States
KUX,Kuyol,Kuyol,Papua New Guinea
KVE,Kitava,Kitava,Papua New Guinea
KVU,Korolevu,Korolevu,Fiji Islands
KWB,Karimunjawa,Karimunjawa,Indonesia
KWF,Waterfall,Waterfall,United States
KWH,Khwahan,Khwahan,Afghanistan
KWO,Kawito,Kawito,Papua New Guinea
KWR,Kwai Harbour,Kwai Harbour,Solomon Islands
KWV,Kurwina,Kurwina,Papua New Guinea
KWX,Kiwai Island,Kiwai Island,Papua New Guinea
KSI,Kissidougou,Kissidougou,Guinea
KSJ,Kasos Island,Kasosisland,Greece
KSK,Karlskoga,Karlskoga,Sweden
KSL,Kassala,Kassala,Sudan
KSN,Kostanay,Kostanay,Kazakhstan
KSO,Aristoteles Airport,Kastoria,Greece
KSQ,Karshi,Karshi,Uzbekistan
KSS,Sikasso,Sikasso,Mali
KSY,Kars,Kars,Turkey
KSZ,Kotlas,Kotlas,Russia
KTA,Karratha,Karratha,Australia
KTD,Kitadaito,Kitadaito,Japan
KTE,Kerteh,Kerteh,Malaysia
KTG,Ketapang,Ketapang,Indonesia
KTI,Kratie,Kratie,Cambodia
KTL,Kitale,Kitale,Kenya
KTM,Tribhuvan,Kathmandu,Nepal
KTP,Tinson,Kingston,Jamaica
KTQ,Kitee,Kitee,Finland
KTR,Tindal,Katherine,Australia
KTS,Brevigm Airport,Tellermission,United States
KTT,Kittila,Kittila,Finland
KTW,Pyrzowice,Katowice,Poland
KUA,Kuantan,Kuantan,Malaysia
KUC,Kuria,Kuria,Kiribati
KUD,Kudat,Kudat,Malaysia
KUG,Kubin Island,Kubin Island,Australia
KUH,Kushiro,Kushiro,Japan
KUK,Kasigluk,Kasigluk,United States
KUL,Kuala Lumpur,Kualalumpur,Malaysia
KUN,Kaunas,Kaunas,Lithuania
KUO,Kuopio,Kuopio,Finland
KUT,Kopitnari,Kutaisi,Georgia
KUU,Bhuntar Airport,Kullu,India
KUV,Gunsan,Gunsan,South Korea
KVB,Skovde,Skovde,Sweden
KVC,King Cove,Kingcove,United States
KVD,Gyandzha,Ganja,Azerbaijan
KVG,Kavieng,Kavieng,Papua New Guinea
KVK,Kirovsk,Kirovskapatity,Russia
KVX,Kirov,Kirov,Russia
KWA,Kwajalein,Kwajalein,Marshall Islands
KWE,Guiyang,Guiyang,China
KWG,Krivoy Rog,Krivyirih,Ukraine
KWI,Kuwait,Kuwait,Kuwait
KWK,Kwigillingok,Kwigillingok,United States
KWL,Guilin,Guilin,China
KWM,Kowanyama,Kowanyama,Australia
KWN,Kwinhagak,Quinhagak,United States
KWT,Kwethluk,Kwethluk,United States
KUS,Kulusuk,Kulusuk,Greenland
KUY,Kamusi,Kamusi,United States
KWP,Villagespb Airport,Westpoint,United States
KXA,Kasaan,Kasaan,United States
KXR,Karoola,Karoola,Papua New Guinea
KXU,Katiu,Katiu,French Polynesia
KYF,Yeelirrie,Yeelirrie,Australia
KYL,Port Largo,Key Largo,United States
KYN,Milton Keynes,Milton Keynes,United Kingdom
KYO,Topp Of Tampa,Tampa,United States
KYT,Kyauktaw,Kyauktaw,Myanmar
KYX,Yalumet,Yalumet,Papua New Guinea
KZD,Krakor,Krakor,Cambodia
KZF,Kaintiba,Kaintiba,Papua New Guinea
KZH,Kizhuyak,Kizhuyak,United States
KZK,Kompong Thom,Kompong -Thom,Cambodia
LAB,Lablab,Lablab,Papua New Guinea
LAC,Layang Airstrip,Pulau,Malaysia
LAG,La Guaira,La Guaira,Venezuela
LAH,Labuha,Labuha,Indonesia
LAI,Servel,Lannion,France
LAV,Lalomalava,Lalomalava,Samoa
LBG,Le Bourget,Paris,France
LBK,Liboi,Liboi,Kenya
LBM,Luabo,Luabo,Mozambique
LBN,Lake Baringo,Lake Baringo,Kenya
LBO,Lusambo,Lusambo,Democratic Republic of the Congo
LCB,Pontes e Lacerda,Pontes-de-Lacerda,Brazil
LCD,Louis Trichardt,Louistrichardt,South Africa
LCF,Las Vegas,Riodulce,Guatemala
LCI,Laconia Municipal,Laconia,United States
KXF,Koro,Koroisland,Fiji Islands
KXK,Komsomolsk Na Amure,Komsomolsknaamure,Russia
KYA,Konya,Konya,Turkey
KYD,Orchid Island,Orchid Island,Taiwan
KYE,Kleyate,Tripoli,Lebanon
KYK,Karluk,Karluk,United States
KYP,Kyaukpyu,Kyaukpyu,Myanmar
KYS,Kayes,Kayes,Mali
KYU,Koyukuk,Koyukuk,United States
KYZ,Kyzyl,Kyzyl,Russia
KZG,Kitzingen,Kitzingen,Germany
KZI,Philippos Airport,Kozani,Greece
KZN,Kazan,Kazan,Russia
KZO,Kzyl Orda,Kzylorda,Kazakhstan
KZS,Kastelorizo,Kastelorizo,Greece
LAD,Quatro De Fevereiro Airport,Luanda,Angola
LAE,Nadzab,Lae,Papua New Guinea
LAF,Purdue University,Lafayette,United States
LAJ,Lages,Lages,Brazil
LAL,Lakeland,Lakeland,United States
LAM,Los Alamos,Losalamos,United States
LAN,Capital City Airport,Lansing,United States
LAO,Laoag,Laoag,Philippines
LAP,La Paz,Lapaz,Mexico
LAR,Generalbreesfld Airport,Laramie,United States
LAS,Mc Carran Intl,Lasvegas,United States
LAU,Lamu,Lamu,Kenya
LAX,Los Angeles,Losangeles,United States
LAY,Ladysmith,Ladysmith,South Africa
LBA,Leeds,Leeds,United Kingdom
LBB,Lubbock,Lubbock,United States
LBC,Lübeck Blankensee,Hamburg,Germany
LBD,Khudzhand,Khudzhand,Tajikistan
LBE,Westmorlandcounty Airport,Latrobe,United States
LBF,Leebirdfield Airport,Northplatte,United States
LBI,Le Sequestre,Albi,France
LBL,Liberal Municipal,Liberal,United States
LBQ,Lambarene,Lambarene,Gabon
LBR,Labrea,Labrea,Brazil
LBS,Labasa,Labasa,Fiji Islands
LBU,Labuan,Labuan,Malaysia
LBV,Libreville,Libreville,Gabon
LBW,Long Bawan,Longbawan,Indonesia
LBX,Lubang,Lubang,Philippines
LBY,Montoir,Labauleescoublac,France
LBZ,Lukapa,Lukapa,Angola
LCC,Galatina,Galatina,Italy
LCE,Goloson International,Laceiba,Honduras
LCG,La Coruna,Lacoruna,Spain
LCH,Lake Charles Municipal,Lakecharles,United States
LCK,Rickenbacker,Columbus,United States
LCL,La Coloma,La Coloma,Cuba
KWY,Kiwayu,Kiwayu,Kenya
LBP,Long Banga,Longbanga,Malaysia
LCM,La Cumbre,La Cumbre,Argentina
LCN,Balcanoona,Balcanoona,Australia
LCO,Lague,Lague,Congo
LCP,Loncopue,Loncopue,Argentina
LCS,Las Canas,Las Canas,Costa Rica
LCV,Lucca,Lucca,Italy
LCY,London,London,United Kingdom
LDA,Malda,Malda,India
LDC,Lindeman Island,Lindeman Island,Australia
LDR,Lodar,Lodar,Yemen
LDW,Lansdowne,Lansdowne,Australia
LEE,Leesburg,Leesburg,United States
LEF,Lebakeng,Lebakeng,Lesotho
LEG,Aleg,Aleg,Mauritania
